Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Hoxa13		HoxA13	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		HoxA13	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	Xenopus	Sarcopterygii: Amphibia	in situ	(Endo et al., 2000)	3	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	Xenopus	Sarcopterygii: Amphibia	PCR	RT-PCR (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	Xenopus	Sarcopterygii: Amphibia	in situ	whole mount (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa13	hoxa13a	hoxa13a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa13	hoxa13a	HoxA13 (hoxa13a and hoxa13b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13	hoxa13a	HoxA13 (hoxa13a and hoxa13b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13	hoxa13a	Hoxa-13 (hoxa13a, hoxa13b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa13	hoxa13a	hoxa13a	zebrafish	Actinopterygii: Teleostei	in situ	(Ahn and Ho, 2008)	3	(Yano and Tamura, 2013)
Hoxa13	hoxa13b	hoxa13b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa13	hoxa13b	Hoxa-13 (hoxa13b in (Sordino et al., 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	in situ expression analyses of Hoxa-13 mRNA (Sordino et al., 1996); (Chiu et al. incorrectly cited (Sordino et al., 1995) for hoxa-13.	3	(Chiu et al., 2000) 
Hoxa13	hoxa13b	HoxA13 (hoxa13b for (Sordino et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Davis, 2013) 
Hoxa13	hoxa13b	hoxa13b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Hoxa13	hoxa13b	Hoxa-13 (hoxa13a, hoxa13b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa13	hoxa13b	hoxa13 (hoxa13b in (Grandel et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Grandel et al., 2000)	3	(Yano and Tamura, 2013)
Hoxa13	hoxa13b	HoxA13 (hoxa13b for (Sordino et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	Cites (Metscher et al., 2005) who cite (Sordino et al., 1995)	3	(Yano and Tamura, 2013)
Hoxa9		HoxA9	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		hoxa9	mouse	Sarcopterygii: Mammalia	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxa9		HoxA9	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		HoxA9	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9		HoxA9	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9		Hoxa-9	Xenopus	Sarcopterygii: Amphibia	PCR	RT-PCR (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa9		Hoxa-9	Xenopus	Sarcopterygii: Amphibia	in situ	whole mount (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa9	hoxa9a	hoxa9a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa9	hoxa9a	HoxA9 (hoxa9a and hoxa9b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9	hoxa9a	HoxA9 (hoxa9a and hoxa9b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa9	hoxa9b	hoxa9b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa9	hoxa9b	HoxA9 (hoxa9a and hoxa9b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa9	hoxa9b	hoxa9 (hoxa9b in (Grandel et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Grandel et al., 2000)	3	(Yano and Tamura, 2013)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	DNA	4	(Crow et al., 2012)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	chick	Sarcopterygii: Aves	in situ	(Yokouchi et al., 1991)	3	(Coates, 1994)
Hoxa9, hoxa10, hoxa11, hoxa13		Hox A (cluster)	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Hoxa9, hoxa10, hoxa11, hoxa13		Hox-1 (cluster)	chick	Sarcopterygii: Aves	in situ	(Yokouchi et al., 1991)	3	(Tabin, 1992) 
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA9-13 (cluster)	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Wagner and Chiu, 2001)  
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	DNA	4	(Crow et al., 2012)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	DNA	4	(Crow et al., 2012)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13		hoxAb (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13		hoxAb (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	mouse	Sarcopterygii: Mammalia	in situ		3	(Berlivet et al., 2013)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	mouse	Sarcopterygii: Mammalia	sequencing		4	(Berlivet et al., 2013)
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	mouse	Sarcopterygii: Mammalia	transgenics		1	(Berlivet et al., 2013)
Hoxa9, hoxa10, hoxa11, hoxa13		Hox A (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA (cluster)	mouse	Sarcopterygii: Mammalia	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13		hoxAb (cluster)	mouse	Sarcopterygii: Mammalia	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, Hoxa11, Hoxa13		HoxA9-13 (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Nelson et al., 1996)	3	(Wagner and Chiu, 2001)  
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		hox (family)	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Ruvinsky et al., 2000) 
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox (family)	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment with lamprey and human	4	(Takio et al., 2007)
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox (family)	human	Sarcopterygii: Mammalia	sequencing	sequence alignment with horn shark and lamprey	4	(Takio et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox (family)	lamprey (Lethenteron japonicum)	Agnatha	PCR		3	(Takio et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox (family)	lamprey (Lethenteron japonicum)	Agnatha	in situ	immunostaining	3	(Takio et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox (family)	lamprey (Lethenteron japonicum)	Agnatha	sequencing	sequence alignment with horn shark and human	4	(Takio et al., 2007) 
Hoxa9, hoxa10, hoxa11, hoxa13, Hoxb5, Hoxb8, Hoxb9, Hoxc6, Hoxc9, Hoxc10, Hoxc11, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		hox (family)	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Ruvinsky et al., 2000) 
Hoxa9, hoxa10, Hoxa11, Hoxa13, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Abd-B (family containing HoxA and HoxD genes)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, Hoxa11, Hoxa13, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Abd-B (family containing HoxA and HoxD genes)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Hoxa9, hoxa10, Hoxa11, Hoxa13, Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Abd-B (family containing HoxA and HoxD genes)	mouse	Sarcopterygii: Mammalia	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa11, hoxa13		hoxAa (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxa9, hoxa11, hoxa13		hoxAa (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Hoxa9, hoxa11, hoxa13		hoxAa (cluster)	mouse	Sarcopterygii: Mammalia	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
hoxa9b, hoxa10b, hoxa11b, hoxa13b,		Hox A (cluster) as per (Sordino et al., 1996) as per ZFIN	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
hoxa9b, hoxa10b, hoxa11b, hoxa13b, hoxd13a		hox (family)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1996)	3	(Ruvinsky et al., 2000) 
Hoxb5		Hoxb5	mouse	Sarcopterygii: Mammalia	knockout	(Rancourt et al., 1995)	1	(Nuno de la Rosa et al., 2014)
Hoxb8		Hoxb-8	mouse	Sarcopterygii: Mammalia	ectopic expression	(Charite et al., 1994)	2	(Akimenko and Ekker, 1995) 
Hoxb8		Hoxb8	mouse	Sarcopterygii: Mammalia	in situ	(Zakany et al., 2004)	3	(Freitas et al., 2006) 
Hoxb8		Hoxb-8	mouse	Sarcopterygii: Mammalia	overexpression	normal expression domain extended (Charite et al., 1994)	2	(Gibson-Brown et al., 1996)
Hoxb9		Hoxb9	chick	Sarcopterygii: Aves	in situ	(Cohn et al., 1997)	3	(Nuno de la Rosa et al., 2014)
Hoxb9		Hoxb9	chick	Sarcopterygii: Aves	in situ	whole mount (Cohn et al., 1997)	3	(Tanaka et al., 2005) 
Hoxb9		Hoxb9	mouse	Sarcopterygii: Mammalia	knockout	(Fromental-Ramain et al., 1996)	1	(Don et al., 2013)
Hoxc10		Hoxc-10	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	in situ	(Simon and Tabin, 1993)	3	(Gibson-Brown et al., 1996)
Hoxc10	hoxc10a	Hoxc10a	zebrafish	Actinopterygii: Teleostei	in situ	(Murata et al., 2010)	3	(Don et al., 2013)
Hoxc11		Hoxc-11	mouse	Sarcopterygii: Mammalia	in situ	(Peterson et al., 1994)	3	(Gibson-Brown et al., 1996)
Hoxc11		Hoxc-11	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	in situ	(Simon and Tabin, 1993)	3	(Gibson-Brown et al., 1996)
Hoxc6		Hoxc6	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Mabee et al., 2002)
Hoxc6		Hoxc6	chick	Sarcopterygii: Aves	in situ	whole mount (Burke et al., 1995)	3	(Nuno de la Rosa et al., 2014)
Hoxc6		Hox-3.3	chick	Sarcopterygii: Aves	in situ	(Oliver et al., 1990)	3	(Tabin, 1992) 
Hoxc6		Hoxc-6	mouse	Sarcopterygii: Mammalia	in situ	(Oliver et al., 1988)	3	(Gibson-Brown et al., 1996)
Hoxc6		Hoxc6	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Burke et al., 1995)	3	(Nuno de la Rosa et al., 2014)
Hoxc6		Hoxc6	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Hoxc6		Hoxc6	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Hoxc9		Hoxc9	chick	Sarcopterygii: Aves	in situ	(Cohn et al., 1997)	3	(Nuno de la Rosa et al., 2014)
Hoxc9		Hoxc9	chick	Sarcopterygii: Aves	in situ	whole mount (Cohn et al., 1997)	3	(Tanaka et al., 2005) 
Hoxc9		Hoxc9	mouse	Sarcopterygii: Mammalia	in situ	(Cohn et al., 1997)	3	(Don et al., 2013)
Hoxc9		Hoxc-9	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	in situ	(Simon and Tabin, 1993)	3	(Gibson-Brown et al., 1996)
Hoxd1		Hoxd1	mouse	Sarcopterygii: Mammalia	in situ	(Zakany et al., 2004)	3	(Abbasi, 2011)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD (cluster)	chick	Sarcopterygii: Aves	in situ	(Dolle et al., 1989)	3	(Coates, 1994)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox D (cluster)	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HOX-D (cluster)	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Amemiya et al., 2013)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HOX-D (cluster)	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	Genome sequencing	4	(Amemiya et al., 2013)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD (cluster)	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	DNA	4	(Crow et al., 2012)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD (cluster)	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	DNA	4	(Crow et al., 2012)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hoxd (cluster)	mouse	Sarcopterygii: Mammalia	in situ	fluorescence (Williamson et al., 2012)	3	(Berlivet et al., 2013)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hoxd (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Zakany et al., 2004)	3	(Freitas et al., 2006) 
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox D (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hoxd (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Dolle et al., 1991)	3	(Kondo et al., 1998)
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hox-4 (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Dolle et al., 1989; Dolle et al., 1991)	3	(Tabin, 1992) 
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		hoxDa (cluster)	mouse	Sarcopterygii: Mammalia	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD (cluster)	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ	(Davis et al., 2007)	3	(Cole and Currie, 2007) 
Hoxd1, Hoxd3, Hoxd4, Hoxd8, Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD (cluster)	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	DNA	4	(Crow et al., 2012)
Hoxd10		Hoxd10	chick	Sarcopterygii: Aves	in situ	whole mount (Nelson et al., 1996)	3	(Abbasi, 2011)
Hoxd10		Hoxd10	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	Quantitative PCR analysis	3	(Sakamoto et al., 2009)
Hoxd10		Hoxd10	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2006) 
Hoxd10		Hoxd10	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
Hoxd10		Hoxd10	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd10	hoxd10a	hoxd10a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxd10	hoxd10a	hoxd10a	zebrafish	Actinopterygii: Teleostei	knockdown	hoxd10a MO (morpholino)	2	(Sakamoto et al., 2009)
Hoxd10	hoxd10a	hoxd10a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR analysis	3	(Sakamoto et al., 2009)
Hoxd10	hoxd10a	hoxd10a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Sakamoto et al., 2009)
Hoxd10	hoxd10a	Hoxd-10 (hoxd10a for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hoxd10-13 (cluster)	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxd10, hoxd11a, Hoxd12, Hoxd13		Hoxd10-13 (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Tarchini and Duboule, 2006)	3	(Ahn and Ho, 2008) 
Hoxd10a	hoxd10a	Hoxd-10 (Hoxd10a as per (ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
hoxd10a	hoxd10a	Hox D (cluster)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Hinchliffe, 2002)  
hoxd11a		Hoxd11	chick	Sarcopterygii: Aves	in situ	whole mount (Nelson et al., 1996)	3	(Abbasi, 2011)
hoxd11a		HoxD11	chick	Sarcopterygii: Aves	overexpression	overexpression in vivo (Morgan et al., 1992)	2	(Coates, 1994)
hoxd11a		Hoxd-11	chick	Sarcopterygii: Aves	in situ		3	(Coates, 1995)
hoxd11a		Hox D 11	chick	Sarcopterygii: Aves	in situ	(Tabin, 1992)	3	(Hinchliffe, 2002)  
hoxd11a		Hoxd11	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	Quantitative PCR analysis	3	(Sakamoto et al., 2009)
hoxd11a		Hoxd11	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
hoxd11a		Hoxd11	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd11a		Hox D 11	mouse	Sarcopterygii: Mammalia	in situ	(Tabin, 1992)	3	(Hinchliffe, 2002)  
hoxd11a		Hoxd-11	mouse	Sarcopterygii: Mammalia	knockout	(Davis and Capecchi, 1994)	1	(Kondo et al., 1998)
hoxd11a		HoxD11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
hoxd11a	hoxd11a	Hox D (cluster)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Hinchliffe, 2002)  
hoxd11a	hoxd11a	hoxd11a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
hoxd11a	hoxd11a	hoxd11a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Sakamoto et al., 2009)
hoxd11a	hoxd11a	Hoxd-11 (hoxd11a for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Hoxd11a	hoxd11a	Hoxd-11 (Hoxd11a as per (ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
Hoxd12		Hoxd12	chick	Sarcopterygii: Aves	in situ	whole mount (Nelson et al., 1996)	3	(Abbasi, 2011)
Hoxd12		Hox D 12	chick	Sarcopterygii: Aves	in situ	(Tabin, 1992)	3	(Hinchliffe, 2002)  
Hoxd12		Hoxd12	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	Quantitative PCR analysis	3	(Sakamoto et al., 2009)
Hoxd12		Hoxd12	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2006) 
Hoxd12		Hoxd12	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
Hoxd12		Hoxd12	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd12		Hox D 12	mouse	Sarcopterygii: Mammalia	in situ	(Tabin, 1992)	3	(Hinchliffe, 2002)  
Hoxd12		Hoxd12	mouse	Sarcopterygii: Mammalia	in situ	(Galli et al., 2010)	3	(Zeller, 2010)
Hoxd12		HoxD12	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	PCR		3	(Crow et al., 2012)
Hoxd12		HoxD12	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing		4	(Crow et al., 2012)
